model,cold_period,CBIQ,IL_@0.98 Baseline,IL_@0.98 FE-UCB,coldCL@0.98 Baseline,coldCL@0.98 FE-UCB,CL_@0.98 Baseline,CL_@0.98 FE-UCB,Experiment
catboost,10,2.714466603355492,59579.445151344655,80678.28712568677,2233.706844157108,2994.4336083358635,197455.3014053968,197564.1699321638,5
catboost,100,2.951883507439063,255218.77868217943,292546.5679117338,6945.808929027992,7961.59766933999,197455.3014053968,197348.35152444773,5
catboost,200,3.1497309275087053,462220.62256966624,520353.32760970306,12872.196286485305,14267.33628410892,197455.3014053968,197048.83445892617,5
catboost,500,3.1418170307059197,982937.9462051932,1081488.5205484924,29527.729091024907,31828.068947178857,197455.3014053968,196468.61799214175,5
catboost,0,0.9523809523809524,45772.05942674237,61450.48648449437,2076.3560900850034,2689.5380087522035,194812.26373026977,194975.3656795004,6
catboost,10,0.9833526906697638,64487.53783283929,81440.39475981034,2583.6974197618356,3216.0034998762585,194812.26373026977,194968.2856696474,6
catboost,100,1.2117692605497483,238380.47627408648,269804.3900435996,7004.577369238834,7875.490068246162,194812.26373026977,194778.7786601701,6
catboost,200,1.3124274099883857,426185.0026436365,476289.6213477595,12465.99574445669,13718.658820469613,194812.26373026977,194519.1196779137,6
catboost,500,1.3201703445605886,913318.84035293,1000938.246478218,28297.00566451571,30388.477022533287,194812.26373026977,193949.0272441621,6
catboost,0,0.5285605882199021,48947.35517630751,62977.87914302079,2172.2536732376147,2721.8100985784454,213558.85246090184,213738.06920530568,7
catboost,10,0.5494936808226706,72211.5814519763,87706.30248115228,2780.949607674744,3345.284129395995,213558.85246090184,213721.9165787656,7
catboost,100,0.7405081508229322,352942.77383031964,389205.0630919823,9905.71931788806,10795.499079611243,213558.85246090184,213401.16162238823,7
catboost,200,0.8033074286312374,680637.511500852,742625.498933752,19522.232504076903,20887.58439938489,213558.85246090184,212965.8894921088,7
catboost,500,0.7169584216448177,1440082.4891903135,1542961.6853140066,44540.41413322805,46706.22230195626,213558.85246090184,212105.3573567403,7
catboost,0,1.1723542509201617,45589.19520147504,60236.6207850646,1982.641737108764,2557.3379109873895,183203.19749718343,183362.17542236217,8
catboost,10,1.1996183032671424,65612.68492607531,82099.28301076363,2437.034624173258,3039.6457469205266,183203.19749718343,183349.13114820345,8
catboost,100,1.3450265824510383,313302.48757775297,349960.03959550563,8525.321998922662,9453.990751583531,183203.19749718343,183037.0176009592,8
catboost,200,1.499522879083928,579252.348912897,635597.6661020813,16156.853947886124,17465.674022687075,183203.19749718343,182683.39158691664,8
catboost,500,1.3086745126550643,1167814.3630633664,1254082.243147424,35603.070776428554,37536.605497085635,183203.19749718343,182042.02134052425,8
catboost,0,1.0871967118928714,43762.45186162266,56860.92731833924,1932.7079029976944,2454.4253269184424,176081.5414033601,176235.07198637718,9
catboost,10,1.1092942060370354,68172.68984157387,83207.95633071316,2583.325607397245,3128.7867029927265,176081.5414033601,176216.28188414717,9
catboost,100,1.3125911521633449,303953.75702964613,339107.6568295348,8355.332849145016,9226.470474638085,176081.5414033601,175916.5075880521,9
catboost,200,1.3788836345958368,542934.6142365694,596581.9765009318,15127.232305704092,16366.149049954716,176081.5414033601,175611.67293893974,9
catboost,500,1.3391081451363416,1088603.957462106,1171131.8840384174,32687.806846457355,34553.31313957795,176081.5414033601,175034.60405724242,9
catboost,0,0.8802130700272833,56544.71967897653,74412.5842997184,2579.4085411486753,3293.604564185357,218197.42158070204,218416.71771139355,10
catboost,10,0.9159412758217488,80848.93795322799,100750.52832768184,3202.1421213724934,3949.633838731951,218197.42158070204,218399.40511441423,10
catboost,100,1.1270624918799532,351479.5092463446,395148.5185926476,9788.612124740714,10961.036746346945,218197.42158070204,218073.82434634515,10
catboost,200,1.1887748473431208,632067.0394496573,698338.9970085464,17883.784817301374,19518.01750975452,218197.42158070204,217718.15492979836,10
catboost,500,1.0848382486683124,1285944.8335139717,1388346.313100023,39156.79750480244,41583.79822448137,218197.42158070204,217030.16547333545,10
catboost,0,1.064148182634432,52908.01466638185,71172.49980125949,2348.6096333722135,3065.0671373200394,216451.03122364663,216667.9023153716,11
catboost,10,1.097402813341758,77168.03582497934,97941.50415418576,2923.9506339075997,3670.9437590195616,216451.03122364663,216648.36524927415,11
catboost,100,1.3501380067174351,370998.7174892019,416582.9765151498,10039.646540943895,11162.582306772212,216451.03122364663,216299.03079051003,11
catboost,200,1.3966944897076918,663323.9110832904,731248.2831685824,18271.179026046066,19806.624341159983,216451.03122364663,215926.65839325616,11
catboost,500,1.2670014299491204,1327770.0436718147,1430952.1594124062,39402.80137106952,41687.684967117544,216451.03122364663,215253.68531991012,11
catboost,0,1.572039072039072,46022.5838741864,62967.273308065865,1980.8823913898675,2608.747457748527,217184.7041693534,217356.40954568877,12
catboost,10,1.636904761904762,72420.18063373277,91758.33437816487,2595.721985324958,3251.391971768221,217184.7041693534,217335.9582952832,12
catboost,100,1.8238705738705736,369226.1063273219,412332.0742976628,9780.328508555564,10782.810303014046,217184.7041693534,216968.3743451936,12
catboost,200,1.8925518925518925,663046.0475641661,729199.2950597663,18254.351942445388,19694.04244370306,217184.7041693534,216593.616408103,12
